model,review,make,extracted
VOLKSWAGEN Multivan,"Volkswagen Commercial Vehicles introduced a new generation of the Multivan model in 2021, replacing the aging T 6.1 Caravelle lineup. Even though it came after the facelifted version of the T6, the new generation was not named T7 on the official papers. In addition, unlike its predecessors that were built on designated utility-vehicle platforms, the 2021 Multivan was based on the MQB platform shared with many other cars produced by Volkswagen. Since the vehicle was built as a successor to the Caravelle, it had to be comfortable and good-looking but still bear a van-like appearance. At the front, the narrow, high-mounted headlights resembled those fitted on the Golf, while the fat bumper sported a massive grille with a rhomboidal pattern. From its profile, the MPV featured wide windows that covered the upper third-part of the vehicle. Apart from the big front doors, the Multivan also received one or two sliding doors, depending on the options. Last but not least, the rear tailgate could've been electrically opened. Inside, the Multivan could accommodate up to seven passengers on three rows of individual seats. The last row, which was previously fitted with a bench, consisted of individual places that could've been moved or removed, depending on the necessities. The middle row featured two captain seats that could rotate 180 degrees. At the front, a pair of high-mounted seats were already usual for the Multivan. These allowed their occupants to enjoy the great view offered by the wide windscreen and tall side windows. In addition, the dashboard was mounted low enough not to obstruct their sight. Underneath the car's skin, Volkswagen installed a choice of hybrid and turbodiesel engines. In addition, a plug-in hybrid fitted with a 13kW battery pack was available.",VOLKSWAGEN,"```json{  ""car-model"": ""Multivan"",  ""year"": ""2021"",  ""size"": ""MPV"",  ""overall-design"": [""comfortable"", ""good-looking"", ""van-like""],  ""design-elements"": {    ""windshield"": [""wide"", ""tall""],    ""grille"": [""massive"", ""rhomboidal""],    ""hood"": [],    ""headlights"": [""narrow"", ""high-mounted""],    ""bumper"": [""fat""],    ""wheel"": [],    ""doors"": [""big front doors"", ""sliding doors""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Golf R Variant,"While the Golf R was designed for those who enjoyed driving and didn't need a large trunk in the back, the Golf R Variant came as an important addition for those who needed a station wagon. A family with kids needs a car with a big trunk where the bicycles, scooters, and other toddler-related items need to be stored. On the other hand, nobody said station wagons can't have powerful engines. And Volkswagen decided to give an important boost to its already known Golf Variant in the form of the R version. The 2021 Golf R Variant shared most of its bodywork with the Golf R up to the B-pillar, but it featured different C-pillars and rear doors. An additional glass area covered the space between the C- and the D-pillar. The carmaker sacrificed some part of the trunk space for this Golf generation and raked-forward the tailgate for a sportier look. Volkswagen even installed a roof spoiler on the upper side of the rear windscreen. Under the bumper, the carmaker installed four oval exhausts, similar to those from the Golf R hatchback. Lile its Golf R sibling, the R Variant featured a sporty interior with high-bolstered front seats. Its full-digital instrument cluster and the paddle-shifters behind the wheel were just a confirmation that it wasn't just a regular grocery-getter. But, since it was a station wagon, it offered a split-folding rear bench which provided between 611 liters (21.6 cu-ft) and 1,642 liters (58 cu-ft) of trunk space. For the drivetrain, Volkswagen installed a turbocharged inline-four gasoline engine. It was paired to either a 6-speed manual or a 7-speed DSG (dual-clutch) automatic transmission. Power went to all corners via a newly developed all-wheel-drive system with torque vectoring.",VOLKSWAGEN,"```json{  ""car-model"": ""Golf R Variant"",  ""year"": ""2021"",  ""size"": ""station wagon"",  ""overall-design"": [""sporty"", ""powerful"", ""functional"", ""sleek"", ""modern""],  ""design-elements"": {    ""windshield"": [""raked-forward""],    ""grille"": [],    ""hood"": [],    ""headlights"": [],    ""bumper"": [""sporty""],    ""wheel"": [],    ""doors"": [""different rear doors""],    ""roof"": [""roof spoiler""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""oval exhausts""]  }}```"
VOLKSWAGEN Polo 5 Doors,"Volkswagen upgraded the sixth generation of its small-segment Polo in 2021 and improved mostly the car's interior, but didn't forget the exterior look or the drivetrain. With 20 million units sold, the Volkswagen Polo was a huge success for the German brand, and the 2021 model came with up-scale features. Even though it was not that small-segment budget car as it was when the first generation went on the market, its core customers asked for more technological improvements. It even came with partly automated driving. With its standard LED headlights, the facelifted sixth generation of the Polo offered a new front fascia. An LED strip for the daytime running lights crossed the car's front from side to side and enhanced the car's look. The carmaker also installed a new bumper with a more aggressive styling on the lower grille. Its taillights were full-LED. As an option, the carmaker offered Matix headlights. Inside, the Polo featured a standard 8"" instrument panel with an option for a 10"" screen behind the steering wheel. For the infotainment system, Volkswagen installed a standard 6.5"" touch-screen on the center stack, with an option for up to 8"". There were four trim levels named Polo, Life, Style, and R-Line. Even the base-level offered a lane keep assist, while the Adaptive Cruise Control was also available. For the drivetrain, Volkswagen announced only gasoline engines. A 1.0-liter engine was available in three power versions: 80 cp, 95 cp, and 110 cp. A 1.0-liter LPG version was announced for fleets, with 90 hp.",VOLKSWAGEN,"```json{  ""car-model"": ""Polo"",  ""year"": ""2021"",  ""size"": ""small"",  ""overall-design"": [""up-scale"", ""aggressive"", ""modern"", ""stylish"", ""technological""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""new"", ""aggressive""],    ""hood"": [],    ""headlights"": [""LED"", ""Matix"", ""enhanced""],    ""bumper"": [""new"", ""aggressive""],    ""wheel"": [],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Golf R,"The Golf R reached its fifth generation and all offered sports car performances, with all-wheel-drive traction and aggressive look. Volkswagen was considered the inventor of the hot-hatch category when it introduced the first generation of the Golf GTI. It was a segment that grew and, soon, other carmakers produced various performance vehicles in the segment. The Golf evolved and offered more and more performances, but they were no longer the kings of the hot-hatches despite their efforts. Honda, Ford, Renault, and Opel/Vauxhall, made a fierce competition. But the Golf R returned to fix that. A hot-hatch doesn't have to look just as regular as the rest of the range. While on older models, there were just a few aesthetic differences, the Golf R went all the way. The taller bumper with huge grilles on the lower side and big side-pods made a perfect match for a car that had to look fierce. The new, slim headlights with an upper LED daytime running light strip made the vehicle looks mean. On the sides, there was a new aerodynamic package with side sills and a bigger rear roof-spoiler. In the back, the four exhausts were shown under the bumper, next to the splitter. Such an aggressive look couldn't be complete without a race-inspired interior. The sport-bucket seats with integrated headrests for the front passengers were high-bolstered to keep their occupants in place while hard-cornering. The full-digital instrument cluster and the paddle-shifters behind the steering wheel made the car looks business. For the drivetrain, Volkswagen installed a turbocharged inline-four gasoline engine. It was paired to either a 6-speed manual or a 7-speed DSG (dual-clutch) automatic transmission. Power went to all corners via a newly developed all-wheel-drive system with torque vectoring.",VOLKSWAGEN,"```json{  ""car-model"": ""Golf R"",  ""year"": ""fifth generation"",  ""size"": ""compact"",  ""overall-design"": [""aggressive"", ""sporty"", ""aerodynamic"", ""mean"", ""fierce""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""taller"", ""huge"", ""aggressive""],    ""hood"": [],    ""headlights"": [""slim"", ""mean"", ""new""],    ""bumper"": [""taller"", ""aggressive""],    ""wheel"": [],    ""doors"": [],    ""roof"": [""bigger"", ""rear""],    ""diffusor"": [],    ""spoiler"": [""bigger"", ""rear""],    ""exhaust"": [""four"", ""under the bumper""]  }}```"
VOLKSWAGEN Jetta / Vento / Bora,"For three decades, the Jetta was the best-selling Volkswagen on the market, thanks to its compact size and three-box sedan look, which made it suitable for families and company cars as well. In 2021, the German carmaker introduced a facelifted version for Jetta’s seventh generation, which modified the styling and some of the engines. On the outside, the car featured a new grille with two distinctive chromed bars that flanked the VW logo in the middle. For the GLI version, a red strip ran across the bumper, connecting the standard LED headlights. From its sides, the chromed trims around the windows were another standard feature for the 2022 model year. Inside, the German carmaker upgraded the infotainment system to the MIB3 version, fitted as standard for the GLI and available as an option for the rest of the range. Volkswagen also included an 8” display for the instrument cluster, with an option for a 10” unit dubbed Digital Cockpit Pro. As expected, the car featured wireless Android Auto and Apple CarPlay connectivity. Under the hood, Volkswagen adopted the 1.5-liter turbocharged unit for most of the range. On the other hand, the GLI, provided the same 2.0-liter turbocharged powerplant as its predecessor. Depending on the options and version, an automatic (dual-clutch) transmission will be available for the entire range.",VOLKSWAGEN,"```json{  ""car-model"": ""Jetta"",  ""year"": ""2021"",  ""size"": ""compact"",  ""overall-design"": [""compact"", ""three-box sedan look"", ""stylish"", ""modern"", ""sleek""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""new"", ""distinctive"", ""chromed"", ""flanked"", ""VW logo""],    ""hood"": [],    ""headlights"": [""LED"", ""standard"", ""red strip"", ""connected to bumper""],    ""bumper"": [""red strip"", ""modern"", ""sleek""],    ""wheel"": [],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN T-Roc,"Like a clockwork mechanism, Volkswagen introduced the revised version of the T-Roc four years after its initial launch in 2017. With its mathematical precision, the German carmaker upgraded the Golf-based T-Roc in the autumn of 2021 and brought new features and amenities for the subcompact crossover. While some upgrades were subtle, others were more in your face. The car's exterior design went through a mild refresh that brought more lighting effects and a restyled front area. Also, there were new color options and an R-Line package that added a dynamic appearance to the car. At the front, a daytime running light strip crossed from inside the headlights onto the honeycomb-styled grille. In addition, another set of vertical LED lights adorned the side scoops from the lower side of the bumper. The main headlights were available with an option for MATRIX-LED.  The redesigned LED taillights with cascading turn-signals at the back, while the lower bumper sported fake exhaust tips. Inside, the carmaker enhanced the dashboard's look. As standard, depending on the market, the driver got an 8"" instrument cluster with an option for a 10.25"" unit named Digital Cockpit Pro. In addition, Volkswagen placed a standard 8"" or 9.2"" touch-screen for the infotainment system atop the center stack, depending on the trim level and options. Another improvement was for the door cards, which received standard fabric materials. Under the hood, the carmaker offered a choice of diesel and gasoline engines ranging between 110 PS (108 hp) and 190 PS (187 hp) paired with either manual or seven-speed (dual-clutch) automatic transmissions. In base models, the T-Roc only sent the power to the front wheels, while the all-wheel drive systems were available on the more powerful versions.",VOLKSWAGEN,"```json{  ""car-model"": ""T-Roc"",  ""year"": ""2021"",  ""size"": ""subcompact"",  ""overall-design"": [""mathematical precision"", ""mild refresh"", ""dynamic appearance""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""honeycomb-styled""],    ""hood"": [],    ""headlights"": [""daytime running"", ""LED"", ""MATRIX-LED""],    ""bumper"": [""lower side scoops"", ""fake exhaust tips""],    ""wheel"": [],    ""doors"": [""standard fabric materials""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Polo GTI,"In 1975, Volkswagen introduced the inaugural Polo model, followed by the Scirocco GTI in the subsequent year. Despite the long-standing presence of these two names for nearly fifty years, it wasn't until 1998 that the GTI version made its way to the third generation of Polo. Since then, this vehicle has gained recognition in the compact category for its practicality, efficiency, and racing aspirations. Leveraging the reliability of the base model and incorporating speed-focused characteristics, the new Polo GTI stands out as an enjoyable and affordable option for daily driving. With its upgraded technology, drivers can enjoy a comprehensive driving experience that combines classic manual control with a semi-automated mode. The IQ.DRIVE Travel Assist system enables the car to take control of steering, braking, and acceleration between 0 and 130 mph (209 kph). It cleverly integrates two simpler systems, adaptive cruise control and lane assist. However, it is essential to note that the driver must always keep their hands on the steering wheel all the time, hence the semi-automated nature. Staying true to the Polo's tradition, the engine delivers efficiency with moderate fuel consumption, complemented by a DSG transmission. A sport chassis, lowered by two-thirds of an inch, contributes to the car's dynamic stance. The lightweight construction enhances the great alignment of its components and makes the driver who sits behind the sport leather wheel feel like the car can conquer any racetrack. While the compact body of the car affects its luggage capacity, providing a relatively modest 351 liters of capacity, there are some other advantages. For instance, the reduced dimensions make the optional 18-inch alloy wheels appear larger and more stylish, lending the Polo a sportier appearance that may offer a morale and performance boost. The car's rear also has implemented new LED lights featuring animated brake lights and integrated dynamic indicators that make the Polo stand out more even when casually strolling through the city. The chrome exhaust pipe not only transfers the roar of the engine in a very mannered way but also makes a good contrast with the GTI marking from the back of the car. Efficiency is the keyword when talking about the German heritage of the car, as the instruments and infotainment system are strategically positioned within the driver's field of vision for easy readability and usability in all kinds of situations. Despite keeping up with advanced technology, such as including a six-speaker Beats sound system to complement the 10.25 inches display, the main attraction of the interior remains the distinctive GTI touch. The trademark red contrast stitching, Titanium Black trim color for the roof pillars, and roof liner accentuate this compact Volkswagen's performance-oriented character. Combining red, black, and chrome design elements enhances the interior's very sleek appearance.",VOLKSWAGEN,"```json{  ""car-model"": ""Polo GTI"",  ""year"": ""1998"",  ""size"": ""compact"",  ""overall-design"": [""practical"", ""efficient"", ""racing-inspired"", ""dynamic"", ""sleek""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""stylish"", ""sporty""],    ""hood"": [""dynamic""],    ""headlights"": [""LED"", ""animated"", ""dynamic""],    ""bumper"": [],    ""wheel"": [""18-inch alloy"", ""stylish""],    ""doors"": [],    ""roof"": [""Titanium Black"", ""sleek""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""chrome"", ""mannered""],    ""interior"": [""red contrast stitching"", ""sleek"", ""performance-oriented""]  }}```"
VOLKSWAGEN T-Roc Cabriolet,"With a market dominated by crossovers and SUVs, making a convertible version for such a vehicle was an unusual approach, and yet, Volkswagen dared to build and offer the T-Roc as a convertible as well. Even though the convertible accounted for a small fraction of the T-Roc's sales, the carmaker decided to go on with it and kept it on the assembly lines. After all, it was the only crossover convertible on the market, and Volkswagen didn't want to let that advantage go. For the facelifted version, the T-Roc received a similar treatment as its stablemates. Yet, there were a few details that made it special, apart from the folding fabric roof. For instance, the front fascia was similar to the regular T-Roc, but at the back, the trunk lid received a lip spoiler. It wasn't there for a specific aerodynamic advantage but for the vehicle's overall look. For the passenger area, the carmaker used the same dashboard with an 8"" infotainment screen atop the center stack and an option for a 9.2"" unit. In front of the driver, Volkswagen replaced the older analog dials with an 8"" TFT display named Digital Cockpit. A 10.25"" screen dubbed Digital Cockpit Pro was on the options list. As for the seats, they did look somehow like those from the five-door version, but they were folding and provided more side support even on the standard version. Behind the cabin, the carmaker installed the retractable roof compartment. That pushed the rear bench forward, leading to smaller legroom than on the regular T-Roc. Under the hood, the German carmaker offered the T-Roc with a choice of two engines paired with either a six-speed manual or a seven-speed automatic (dual-clutch) gearbox.",VOLKSWAGEN,"```json{  ""car-model"": ""T-Roc"",  ""year"": ""facelifted"",  ""size"": ""crossover"",  ""overall-design"": [""unusual"", ""convertible"", ""special"", ""folding fabric roof"", ""retrofitted lip spoiler""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [],    ""doors"": [""folding""],    ""roof"": [""retractable""],    ""diffusor"": [],    ""spoiler"": [""lip""],    ""exhaust"": []  }}```"
VOLKSWAGEN T-Roc R,"Volkswagen refreshed the entire T-Roc lineup in 2021, four years after the nameplate introduction on the market. That facelift also included the sportiest version, the R. The R version was the hottest of them and provided a sportier appearance backed up by a more powerful engine. Moreover, with the new upgrades, it looked more aggressive than its non-facelifted sibling. Volkswagen understood that only placing a more powerful engine and standard all-wheel drive won't be enough to justify a much higher price than the rest of the T-Roc range. Thus, it added a shiny-black honeycomb-style grille at the front, crossed by an LED strip for the daytime running lights system that started from headlights. Also, in the redesigned bumper, a pair of vertical LED lamps adorned the side scoops that flanked the center lower grille. From the sides, it was noticeable the lowered ground clearance by 20 mm (0.8"") and the silver caps for the rearview mirrors. At the back, a black roof spoiler completed the sporty image. Thanks to the optional Akrapovic titanium exhaust system, the fake tips in the back were replaced by real ones. Inside, the carmaker installed sport seats with higher bolsters on the sides and exclusive upholstery. Also, it offered the option for a body-colored dashboard. In addition, the driver got the Digital Cockpit Pro 10.25"" TFT display for the instrument panel, while the rest of the range had to cope with the 8"" version. Another improvement was for the infotainment system, which sported the 9.2"" display atop the center stack. But the most crucial aspect of the T-Roc R was the drivetrain, which received the two-liter turbocharged gasoline engine. It provided 300 hp and was paired with a seven-speed automatic (dual-clutch) gearbox that sent the power in all corners.",VOLKSWAGEN,"```json{  ""car-model"": ""T-Roc"",  ""year"": ""2021"",  ""size"": ""compact"",  ""overall-design"": [""sporty"", ""aggressive"", ""shiny-black"", ""exclusive"", ""lowered""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""honeycomb-style"", ""LED strip""],    ""hood"": [],    ""headlights"": [""LED""],    ""bumper"": [""redesigned"", ""vertical LED lamps"", ""side scoops""],    ""wheel"": [],    ""doors"": [],    ""roof"": [""black spoiler""],    ""diffusor"": [],    ""spoiler"": [""black""],    ""exhaust"": [""Akrapovic titanium"", ""real tips""]  }}```"
VOLKSWAGEN Golf GTI / GTD / GTE,"The inventor of the hot-hatch category is back with a new version. Of course, we are talking about the Golf GTI from Volkswagen. It is one of the icon cars of the automotive industry. Millions and millions of fans around the globe waited for this eighth generation of the GTI. Despite that it is based on the same MQB platform, launched with the third generation of Audi A3 in 2012, the Golf has succeeded to leave a good impression and the GTI version came with some pretty good improvements. The DCC (Dynamic Chassis Control) system is one of those updates. It continuously reacts to the road surface and driving situations while measuring the steering inputs, braking and acceleration. The main assistance is made to improve comfort depending on the road smoothness, adjusting the four shock absorbers or strengthening them for a sportier driving mode. The DCC also has different pre-set profiles: COMFORT, ECO and SPORT. Plus an “Individual” mode, which can be tailored as desired by the user. The engine used in the Golf GTI is a 2.0-liter turbocharged gasoline unit. It offers 245 hp and 370 Nm (272 lb.ft) of torque. It is coupled as standard to a 6-speed manual gearbox, but a 7-speed DSG dual-clutch is offered extra. No data regarding its performance was issued at the time of the publishing.",VOLKSWAGEN,"```json{  ""car-model"": ""Golf GTI"",  ""year"": ""eighth generation"",  ""size"": """",  ""overall-design"": [],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""iconic"", ""improved""],    ""hood"": [],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Golf Variant,"Based on the same MQB platform as the regular, eighth generation, of the Volkswagen Golf, the Variant was the station-wagon version for the well-known German compact car. Ever since the third generation of the Volkswagen Golf, the German car-maker offered its most known product in a family version, with a bigger trunk area. While most of the credits are usually going for the 5-door or the 3-door versions, the station-wagon was very well sold all over the world. The eighth generation of the Golf featured a slimmer front fascia, with narrow headlights extended on the upper side with “eyebrows” swept on the fenders. The front bumper featured a wide grill in the apron with horizontal slats that visually made the car looks wider. Up to the A-pillars, the car looked the same as the hatchback, but the longer roof and the back were different. A set of side windows was placed behind the rear door and the raked tailgate completed the car. Inside, the Golf Variant featured the same dashboard as the regular Golf, with that clean look for the dashboard, uncluttered by too many buttons. The 8.25” touch-screen infotainment display was installed in a floating design trend, on top of the center stack, and close to the instrument cluster. The automatic gearbox selector was placed on the center console, like a mini-joystick. Under the hood, the Golf Variant featured a mild-hybrid system powered by a turbocharged gasoline engine with direct fuel injection. It was mated to a 7-speed automatic transmission (DSG – dual-clutch).",VOLKSWAGEN,"```json{  ""car-model"": ""Volkswagen Golf Variant"",  ""year"": ""eighth generation"",  ""size"": ""station-wagon"",  ""overall-design"": [""slimmer front fascia"", ""narrow headlights"", ""wide grill"", ""clean dashboard"", ""floating infotainment display""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""wide"", ""horizontal slats""],    ""hood"": [],    ""headlights"": [""narrow"", ""extended"", ""swept""],    ""bumper"": [""wide""],    ""wheel"": [],    ""doors"": [""5-door"", ""3-door""],    ""roof"": [""longer""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Tiguan Allspace,"Volkswagen created the Tiguan Allspace to compensate for the lack of an affordable seven-seat SUV but managed to stay away from its bigger brother, the Touareg, customers. Despite the world pandemic situation, Volkswagen had to refresh the Tiguan range, and it did it. Working with uninfected or healed workers, it managed to keep its production lines rolling, and the 2021 model year rolled out from the assembly lines in autumn 2020. That was just the beginning. Since the Allspace was just the extended version of the Tiguan, it was normal that it will receive an update as well. At the front, like its five-seat sibling, the Tiguan Allspace featured a more striking grille with illuminated strips and a reshaped VW badge in the middle. Its LED headlights were enhanced and received 24 individual LEDs, which could adjust their light for different situations. The system was first implemented on the Touareg. Inside, the carmaker offered its newest version of the control panel for the climate control system, with a touch-screen and sliders on the center stack. The seven seats remained similar to those installed on the previous, non-facelifted model. Strangely, the Allspace offered less trunk space than its five-seat sibling, offering up to 1,755 liters of space instead of the 1,920 liters provided by its smaller brother, with all the seats folded down. Under the hood, Volkswagen installed a choice of five engines: three turbo-diesels and two turbocharged gasoline units.",VOLKSWAGEN,"```json{  ""car-model"": ""Tiguan Allspace"",  ""year"": ""2021"",  ""size"": ""extended"",  ""overall-design"": [""striking grille"", ""enhanced LED headlights"", ""refreshed control panel"", ""seven seats"", ""choice of five engines""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""striking"", ""illuminated"", ""reshaped""],    ""hood"": [],    ""headlights"": [""enhanced"", ""LED"", ""adjustable""],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Golf Alltrack,"Based on the station-wagon version of the Volkswagen Golf VIII, the Alltrack was the lifted and all-wheel-drive version for the well-known German compact vehicle. In the mid-'80s, Volkswagen unveiled one of the first cross-over vehicles on the market. It was known as Golf Country and it was an all-wheel-drive and lifted 5-door Golf. It was not the time and it was not very successful. Over time, the customers started to look for vehicles that offered a higher ground clearance in compact-size bodyworks. The eighth generation of the Golf was unveiled in October 2019 and it was one of the last major models unveiled live before the COVID 19 pandemic started. The Golf Alltrack was based on the station-wagon version of the Golf. It offered a higher ground clearance and a rougher look like it would like to go camping. The LED foglights, the side sills, and the slim gray trims around the wheel-arches are emphasizing the cross-over look of the car. On top of that, a pair of roof-rails was installed. Inside, the Golf Alltrack featured the same interior as the Golf Variant, with that clean look for the dashboard, uncluttered by too many buttons. The 8.25” touch-screen infotainment display was installed in a floating design trend, on top of the center stack, and close to the instrument cluster. The automatic gearbox selector was placed on the center console, like a mini-joystick. Under the hood, the Alltrack featured a mild-hybrid system powered by a turbocharged gasoline engine. The 7-speed automatic transmission (DSG – dual-clutch) sent the power to all four wheels via a Haldex center differential.",VOLKSWAGEN,"```json{  ""car-model"": ""Volkswagen Golf Alltrack"",  ""year"": ""2019"",  ""size"": ""compact"",  ""overall-design"": [""lifted"", ""rough"", ""cross-over"", ""clean"", ""floating""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [],    ""headlights"": [""LED""],    ""bumper"": [],    ""wheel"": [""slim gray trims around the wheel-arches""],    ""doors"": [],    ""roof"": [""pair of roof-rails""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
VOLKSWAGEN Arteon,"Volkswagen didn't rest on its laurels after launching the Arteon lineup in 2020 and brought some significant improvements to the vehicle for the 2022 model year. After it dropped the Phaeton, the Arteon remained Volkswagen's flagship sedan. Even though it was based on the same scalable MQB platform shared with most other stablemates. For the 2022 model year, the sporty-looking vehicle was available in three trim levels: SE R-Line, SEL R-Line, and SEL Premium R-Line. All three versions featured the R-Line pack both inside and out. For the 2022 model year, the aggressive stance was emphasized by the contoured hood lines that emerged on the main grille. Furthermore, the base version featured standard 18"" light-alloy wheels, while the SEL R-Line was available with 20"" ones. Finally, the Premium R-Line was offered with standard 20"" alloys. In addition, the middle and top versions got an illuminated light bar in the grille to complement the LED daytime running lights. Also, the LED headlights were fitted as standard on the entire range. Inside, all versions had a three-zone Climatronic Touch HVAC system as standard. In addition, for cold weather, all versions received standard heated front seats. At the same time, the Premium L-Line featured heated and ventilated four seats. In addition to the standard MIB3 touchscreen infotainment, the German automaker offered Sirius XM with 360L and a 700-Watt harman/kardon audio with 12 speakers, including a subwoofer. The high-quality sound system was standard for the Premium L-Line. Apart from the SE R-Line, fitted with FWD-only, the rest of the range featured a 4Motion all-wheel-drive system. However, the most significant upgrade was under the hood, where the automaker installed a 300 hp (304 PS) turbocharged inline-four paired with a seven-speed automatic gearbox.",VOLKSWAGEN,"```json{  ""car-model"": ""Arteon"",  ""year"": ""2022"",  ""size"": ""mid-size sedan"",  ""overall-design"": [""sporty"", ""aggressive"", ""elegant"", ""luxurious""],  ""design-elements"": {    ""windshield"": [""contoured""],    ""grille"": [""illuminated"", ""aggressive""],    ""hood"": [""contoured""],    ""headlights"": [""LED""],    ""bumper"": [],    ""wheel"": [""18-inch"", ""20-inch"", ""alloy""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""turbocharged""]  }}```"
VOLKSWAGEN Tiguan,"Volkswagen introduced the third generation of its compact SUV, Tiguan, in 2023, and it was a big step forward for the vehicle compared to its predecessor in terms of styling, technology, and features. The Tiguan started its career trying to catch up with Nissan Qashqai and losing most of the time. Volkswagen didn’t have the reputation of a 4x4 car maker, so its products suffered in that segment. But the German automaker didn’t give up and pushed harder on the market. The second generation, which it launched in 2016, performed better and took the crown as the best-selling VW. By 2023, the Tiguan had reached 7.6 million units sold and was on its way to success. That’s why its creator tried to make a better car and surprise its customers in a good way. With styling cues carried over from its bigger brother, the Touareg, the Tiguan looked more up-scale than its predecessor. Strangely, there was no grille above the massive bumper, just a lower one needed to cool the engine and a pair of side scoops that housed a pair of air intakes. The LED headlights showed a new, more angular design than on the Tiguan’s second generation and flanked a strip that supported the carmaker’s badge. From its profile, the compact SUV revealed its sculptured doors and the widened rear quarter panels, creating a muscular image for the Tiguan. Finally, at the back, the tilted forward tailgate sported a roof spoiler. Also, at the back, customers could notice the lack of any exhaust, not even fake ones. For the sporty version, Volkswagen added piano-black trims at the front bumper, the B- and C-pillars, and the rear bumper. Inside, the third generation of the Tiguan boasted a more luxurious cabin than its predecessor. It now featured a standard 10” instrument cluster and up to 15” touchscreen for the infotainment system. Just like the rest of the Volkswagen range, the multimedia unit didn’t feature a dedicated volume knob, but the automaker thought slightly differently. Volkswagen listened to its clients and ditched the touch-buttons from the steering wheel and replaced them with physical ones, which was a good thing. Between the front seats on the center console, it installed a rotary dial with its own touch-button inside that could control several systems, including the volume. The front occupants could access it from their comfortable seats designed for long journeys. In the back, the carmaker installed a split-folding bench seat that could expand the 652-liter (23 cu-ft.) trunk. Volkswagen built the Tiguan on the MQB evo platform and installed a choice of hybrid, gasoline, or diesel drivetrains. All of them were prepared for the Euro 7 emission standards and provided not just good performance but also low fuel consumption figures. Furthermore, the 2023 iteration of the Tiguan was the first to completely ditch the manual gearboxes and featured just dual-clutch ones for the entire range.",VOLKSWAGEN,"```json{  ""car-model"": ""Tiguan"",  ""year"": ""2023"",  ""size"": ""compact SUV"",  ""overall-design"": [""up-scale"", ""muscular"", ""luxurious"", ""sporty"", ""angular""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""massive"", ""lower""],    ""hood"": [],    ""headlights"": [""LED"", ""angular""],    ""bumper"": [""massive""],    ""wheel"": [],    ""doors"": [""sculptured"", ""widened""],    ""roof"": [""tilted"", ""spoiler""],    ""diffusor"": [],    ""spoiler"": [""roof""],    ""exhaust"": [""lack of any""]  }}```"
